"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
1636215,"March 8, 2020",Georgia,Atlanta,"898 Oak St SW",0,1,N/A
1636193,"March 8, 2020",Tennessee,Cordova,"7100 block of Charlton Way",0,1,N/A
1636343,"March 8, 2020",Virginia,Salem,"Richland Hills Dr",0,1,N/A
1635707,"March 7, 2020","South Carolina",Una,"1200 block of Edgewood Dr",0,1,N/A
1635570,"March 7, 2020","New Mexico",Albuquerque,"1700 block of Rayo del Sol SW",0,4,N/A
1636365,"March 7, 2020",Tennessee,Paris,"301 Tyson Ave",1,1,N/A
1635221,"March 6, 2020",Michigan,Detroit,"1301 3rd Ave",0,1,N/A
1635607,"March 6, 2020",California,Escondido,N/A,0,1,N/A
1635159,"March 6, 2020",Louisiana,"New Orleans","2200 block of Louisiana Ave",0,2,N/A
1634541,"March 5, 2020","New York",Buffalo,"1 Walden Galleria",0,1,N/A
1635281,"March 5, 2020",Virginia,Powhatan,"2600 block of Maidens Rd",0,1,N/A
1635113,"March 5, 2020",Florida,"Fort Lauderdale (Weston)","2585 Glades Cir",0,1,N/A
1634399,"March 5, 2020",Indiana,Brownstown,"1027 W Oak St",0,2,N/A
1634334,"March 5, 2020",Connecticut,Westport,"Merritt Pkwy",0,1,N/A
1635359,"March 5, 2020",Texas,Cypress,"7600 block of Oak Sage Dr",0,1,N/A
1634932,"March 4, 2020",Pennsylvania,Philadelphia,N/A,0,1,N/A
1634611,"March 4, 2020",Texas,Texarkana,"2500 N Robinson Ave",0,1,N/A
1633807,"March 3, 2020","South Carolina",Columbia,"6600 block of Bailey St",0,1,N/A
1633562,"March 3, 2020",Missouri,Bolivar,"300 block of N Park Ave",0,1,N/A
1634756,"March 3, 2020",Arkansas,"Little Rock","8800 Baseline Rd",0,1,N/A
1634072,"March 3, 2020",Texas,Tyler,"3400 Varsity Dr",1,2,N/A
1633558,"March 2, 2020",Florida,"Vero Beach","3980 King Pl",0,1,N/A
1632731,"March 2, 2020",California,Vista,"300 block of Paseo Marguerita",0,1,N/A
1632813,"March 2, 2020",Oregon,Portland,"6600 block of NE Tillamook St",0,2,N/A
1632282,"March 1, 2020",Wisconsin,Janesville,"4011 S County Rd G",0,1,N/A
1632401,"March 1, 2020",Massachusetts,Plymouth,"Forest Avenue",0,1,N/A
1632354,"March 1, 2020",California,"Los Angeles","1700 block of N Highland Ave",1,3,N/A
1631792,"March 1, 2020",Oklahoma,"Oklahoma City","NE 32nd St and N Lincoln Blvd",0,1,N/A
1631780,"March 1, 2020",Michigan,Detroit,"19700 block of Littlefield St",0,1,N/A
