Incident_ID,Incident_Date,US_State,CityorCounty,Num_Killed,Num_Injured
1634779,"March 5, 2020",South Carolina,Mountain Rest,1,0
1634921,"March 5, 2020",Pennsylvania,York,1,0
1633866,"March 4, 2020",Alabama,Slocomb,1,0
1634317,"March 4, 2020",New Hampshire,Warner,1,0
1632459,"March 2, 2020",Kansas,Wichita,1,0
1633167,"March 2, 2020",Virginia,Chesapeake,1,0
1632058,"March 1, 2020",Texas,Houston,1,0
1632100,"March 1, 2020",New Mexico,Albuquerque,1,0
1631568,"February 29, 2020",Mississippi,Biloxi,1,0
1631336,"February 28, 2020",West Virginia,Fairmont,1,0
1630676,"February 27, 2020",Missouri,Hazelwood,1,0
1630393,"February 27, 2020",Pennsylvania,Tamaqua,1,0
1630175,"February 26, 2020",Texas,Joaquin,1,0
1629042,"February 25, 2020",Illinois,Chicago,1,4
1629234,"February 25, 2020",Florida,Titusville,1,1
1629261,"February 25, 2020",Florida,Jacksonville,1,0
1628048,"February 23, 2020",Texas,Llano,1,0
1627699,"February 23, 2020",Tennessee,Memphis,1,0
1627025,"February 22, 2020",Arizona,Phoenix,1,0
1626860,"February 21, 2020",Florida,Kissimmee,1,0
1625892,"February 20, 2020",Florida,Brooksville,1,0
1625658,"February 20, 2020",Arkansas,Texarkana,1,0
1622792,"February 16, 2020",Oklahoma,Oklahoma City (Midwest City),1,0
1623513,"February 16, 2020",Ohio,Toledo,1,0
1623097,"February 16, 2020",Kentucky,Dunmor,1,0
1624470,"February 16, 2020",Georgia,Lexington,2,0
1622731,"February 16, 2020",Tennessee,Memphis,1,0
1621936,"February 14, 2020",Georgia,Lagrange,1,1
1620904,"February 13, 2020",Florida,Leesburg,1,0
1622113,"February 13, 2020",Ohio,Youngstown (Boardman),1,0
1620073,"February 12, 2020",New York,New York (Manhattan),1,0
1620311,"February 12, 2020",Nebraska,Omaha,1,0
1619781,"February 12, 2020",District of Columbia,Washington,1,0
1619553,"February 9, 2020",Louisiana,Chalmette,1,0
1617744,"February 9, 2020",Pennsylvania,Pittsburgh,1,0
1616601,"February 7, 2020",New Jersey,Browns Mills,1,0
1616774,"February 7, 2020",Louisiana,Shreveport,1,0
1615948,"February 6, 2020",South Carolina,Pendleton,1,1
1616720,"February 6, 2020",California,Davis,1,0
1614953,"February 4, 2020",Michigan,Detroit,1,0
1613176,"February 2, 2020",Ohio,Cincinnati,1,0
1613427,"February 2, 2020",South Carolina,Myrtle Beach,1,0
1612411,"February 2, 2020",Alabama,Harvest,1,0
