US_State,Num_Killed,Num_Injured
Texas,68,6
Florida,31,3
Ohio,27,2
Mississippi,24,7
Georgia,24,1
Alabama,23,6
Tennessee,22,0
South Carolina,20,1
Missouri,20,0
Pennsylvania,19,1
Louisiana,19,3
Illinois,18,6
Arizona,16,0
California,16,0
Virginia,15,3
New York,14,1
Indiana,12,2
Kentucky,10,0
Michigan,10,1
Oklahoma,9,0
North Carolina,9,0
Wisconsin,9,0
Washington,7,7
Utah,7,0
Arkansas,7,0
West Virginia,6,0
Kansas,6,0
Maryland,5,0
Iowa,4,0
Montana,4,0
New Jersey,4,0
Oregon,4,0
Colorado,3,0
Maine,3,0
New Mexico,3,0
Massachusetts,2,0
Idaho,2,0
District of Columbia,2,0
Alaska,2,0
Connecticut,1,0
Rhode Island,1,1
New Hampshire,1,0
Nevada,1,0
Minnesota,1,0
Nebraska,1,0
