Incident_ID,Incident_Date,US_State,CityorCounty,Num_Killed,Num_Injured
1636215,"March 8, 2020",Georgia,Atlanta,0,1
1636193,"March 8, 2020",Tennessee,Cordova,0,1
1636343,"March 8, 2020",Virginia,Salem,0,1
1635707,"March 7, 2020",South Carolina,Una,0,1
1635570,"March 7, 2020",New Mexico,Albuquerque,0,4
1636365,"March 7, 2020",Tennessee,Paris,1,1
1635221,"March 6, 2020",Michigan,Detroit,0,1
1635607,"March 6, 2020",California,Escondido,0,1
1635159,"March 6, 2020",Louisiana,New Orleans,0,2
1634541,"March 5, 2020",New York,Buffalo,0,1
1635281,"March 5, 2020",Virginia,Powhatan,0,1
1635113,"March 5, 2020",Florida,Fort Lauderdale (Weston),0,1
1634399,"March 5, 2020",Indiana,Brownstown,0,2
1634334,"March 5, 2020",Connecticut,Westport,0,1
1635359,"March 5, 2020",Texas,Cypress,0,1
1634932,"March 4, 2020",Pennsylvania,Philadelphia,0,1
1634611,"March 4, 2020",Texas,Texarkana,0,1
1633807,"March 3, 2020",South Carolina,Columbia,0,1
1633562,"March 3, 2020",Missouri,Bolivar,0,1
1634756,"March 3, 2020",Arkansas,Little Rock,0,1
1634072,"March 3, 2020",Texas,Tyler,1,2
1633558,"March 2, 2020",Florida,Vero Beach,0,1
1632731,"March 2, 2020",California,Vista,0,1
1632813,"March 2, 2020",Oregon,Portland,0,2
1632282,"March 1, 2020",Wisconsin,Janesville,0,1
1632401,"March 1, 2020",Massachusetts,Plymouth,0,1
1632354,"March 1, 2020",California,Los Angeles,1,3
1631792,"March 1, 2020",Oklahoma,Oklahoma City,0,1
1631780,"March 1, 2020",Michigan,Detroit,0,1
1631705,"March 1, 2020",Kentucky,Louisville,0,1
1631212,"February 29, 2020",Pennsylvania,Pottsville,0,4
1632984,"February 29, 2020",Florida,Tallahassee,0,1
1631969,"February 28, 2020",Massachusetts,Harwich,0,1
1630461,"February 27, 2020",North Carolina,High Point,0,1
1630062,"February 26, 2020",Wisconsin,Madison,0,1
1629042,"February 25, 2020",Illinois,Chicago,1,4
1629576,"February 25, 2020",Missouri,Pleasant Hope,0,1
1628745,"February 25, 2020",Louisiana,New Orleans,0,1
1629036,"February 25, 2020",Texas,Houston,0,1
1627990,"February 24, 2020",Texas,Houston,0,1
1627713,"February 23, 2020",Texas,Houston,0,7
1628318,"February 23, 2020",Michigan,Chesaning,0,2
1628275,"February 23, 2020",Missouri,Kansas City,0,1
1627425,"February 23, 2020",New York,Buffalo,0,1
1627457,"February 23, 2020",District of Columbia,Washington,1,2
1629179,"February 23, 2020",Michigan,Elsie,0,2
1627380,"February 22, 2020",Pennsylvania,East Stroudsburg,0,1
1626863,"February 22, 2020",Tennessee,Nashville,0,1
1626235,"February 21, 2020",Kentucky,Hopkinsville,0,1
1626705,"February 21, 2020",Michigan,Detroit,0,1
1627838,"February 21, 2020",Oregon,Sweet Home,0,1
1625748,"February 20, 2020",District of Columbia,Washington,0,2
1631428,"February 20, 2020",Arizona,Show Low,0,1
1625773,"February 20, 2020",District of Columbia,Washington,0,1
1627807,"February 20, 2020",Mississippi,Ovett,0,1
1629941,"February 19, 2020",Illinois,Peoria,0,1
1625043,"February 19, 2020",New Jersey,Penns Grove,0,1
1625030,"February 19, 2020",Texas,Bryan,0,2
1625706,"February 19, 2020",Ohio,Toledo,0,2
1631278,"February 18, 2020",California,Valley Springs,0,1
1624441,"February 18, 2020",Florida,Lake City,0,3
1624304,"February 18, 2020",Louisiana,Shreveport,0,2
1624943,"February 18, 2020",Nebraska,Omaha,0,1
1624265,"February 18, 2020",Texas,Plano,0,1
1623862,"February 17, 2020",Virginia,Petersburg,0,1
1630195,"February 17, 2020",Wisconsin,Appleton,0,1
1625298,"February 17, 2020",Connecticut,Danielson (Killingly),0,1
1623784,"February 17, 2020",Florida,Orlando,0,1
1622932,"February 17, 2020",Illinois,Chicago,1,2
1624268,"February 17, 2020",Kansas,Shawnee,0,1
1623933,"February 16, 2020",Tennessee,Morristown,0,1
1624596,"February 16, 2020",Connecticut,Cromwell,0,1
1622589,"February 16, 2020",Georgia,Atlanta,0,1
1622566,"February 16, 2020",Michigan,Detroit,0,1
1622693,"February 16, 2020",Texas,Houston,0,1
1622789,"February 15, 2020",Missouri,Saint Louis,0,1
1622312,"February 15, 2020",Illinois,Chicago,0,1
1623104,"February 15, 2020",Kentucky,Paducah,0,1
1622267,"February 15, 2020",North Carolina,Benson,0,1
1622367,"February 15, 2020",Pennsylvania,Fleetwood (Rockland),0,1
1622333,"February 15, 2020",Pennsylvania,Lancaster,0,2
1621636,"February 14, 2020",Texas,Dallas,0,1
1621865,"February 14, 2020",Georgia,Atlanta (East Point),0,3
1621834,"February 14, 2020",Illinois,Chicago,0,1
1621830,"February 14, 2020",Illinois,Chicago,0,2
1624362,"February 14, 2020",Texas,San Angelo,0,1
1620855,"February 13, 2020",Virginia,Petersburg,0,1
1621120,"February 13, 2020",Oregon,Klamath Falls,0,1
1620709,"February 12, 2020",New Hampshire,Sanbornton,0,1
1620014,"February 12, 2020",Maryland,Baltimore,0,1
1620617,"February 12, 2020",Indiana,Lowell,0,1
1619396,"February 11, 2020",Tennessee,La Follette,0,1
1620757,"February 11, 2020",Texas,San Antonio,0,1
1620125,"February 11, 2020",Virginia,Prince George,0,1
1626757,"February 11, 2020",Illinois,Collinsville,0,1
1619755,"February 11, 2020",Arkansas,Magnolia,0,1
1625709,"February 11, 2020",Kentucky,Stanton,0,1
1617807,"February 9, 2020",Texas,Dallas,0,1
1617560,"February 9, 2020",Minnesota,Moorhead,0,1
1617489,"February 9, 2020",Pennsylvania,Lancaster,0,2
1618057,"February 9, 2020",Oregon,Redmon,0,1
1617923,"February 9, 2020",Texas,San Antonio,0,4
1617787,"February 8, 2020",California,Marysville (Loma Rica),0,1
1617708,"February 8, 2020",Ohio,Dayton,0,1
1619657,"February 8, 2020",Arizona,Williams,0,1
1617368,"February 8, 2020",Illinois,Chicago,0,1
1616342,"February 7, 2020",Maryland,Lexington Park,0,1
1616211,"February 7, 2020",South Carolina,Walterboro,0,1
1616548,"February 7, 2020",Kentucky,Franklin,0,1
1616771,"February 7, 2020",Louisiana,New Orleans,0,1
1617203,"February 7, 2020",Alabama,Fairfield,0,1
1615948,"February 6, 2020",South Carolina,Pendleton,1,1
1616191,"February 6, 2020",Alabama,Choccolocco,0,1
1615618,"February 5, 2020",Virginia,Montross,0,3
1614922,"February 5, 2020",Illinois,Woodridge,0,1
1616126,"February 5, 2020",Florida,Fort Myers,0,1
1615852,"February 5, 2020",Georgia,Macon,0,1
1614648,"February 4, 2020",Indiana,Seelyville,0,1
1614679,"February 4, 2020",Utah,Salt Lake City,0,1
1614438,"February 4, 2020",Texas,Beaumont,0,1
1613910,"February 3, 2020",Indiana,Gary,0,1
1612585,"February 2, 2020",Louisiana,Opelousas,0,2
1612535,"February 2, 2020",Texas,Hurst,0,2
1613267,"February 2, 2020",Georgia,Stone Mountain,0,2
1613935,"February 2, 2020",Massachusetts,Worcester,0,1
1612365,"February 2, 2020",Oregon,Portland,0,1
