US_State,Num_Killed,Num_Injured
Texas,46,46
Florida,38,38
Michigan,33,33
Illinois,29,29
Pennsylvania,24,24
Ohio,22,22
Indiana,19,19
Virginia,18,18
Tennessee,18,18
South Carolina,17,17
Louisiana,16,16
Georgia,15,15
California,14,14
Missouri,14,14
Wisconsin,13,13
Alabama,12,12
New York,12,12
North Carolina,10,10
Kentucky,10,10
Arizona,10,10
Mississippi,8,8
Utah,8,8
Massachusetts,8,8
Maryland,7,7
Oregon,6,6
Minnesota,6,6
Oklahoma,6,6
Arkansas,6,6
Kansas,5,5
District of Columbia,4,4
Nevada,4,4
Washington,4,4
Colorado,4,4
Iowa,4,4
New Mexico,3,3
North Dakota,3,3
Connecticut,3,3
Delaware,3,3
Vermont,2,2
West Virginia,2,2
Wyoming,2,2
New Jersey,2,2
New Hampshire,2,2
Nebraska,2,2
Alaska,2,2
Idaho,2,2
Rhode Island,1,1
Montana,1,1
