Incident_ID,Incident_Date,US_State,CityorCounty,Num_Killed,Num_Injured
1635796,"March 8, 2020",Maryland,Rosedale,1,5
1636564,"March 8, 2020",California,Ceres,1,3
1636037,"March 8, 2020",Wisconsin,Milwaukee,1,3
1636471,"March 8, 2020",Illinois,South Holland,0,4
1635570,"March 7, 2020",New Mexico,Albuquerque,0,4
1635750,"March 7, 2020",Ohio,Cleveland,1,18
1635411,"March 7, 2020",Illinois,Chicago,0,7
1635118,"March 6, 2020",District of Columbia,Washington,0,6
1634128,"March 4, 2020",California,Tulare,1,5
1631831,"February 29, 2020",Colorado,Brighton,0,5
1631040,"February 29, 2020",Missouri,Kansas City,1,4
1629488,"February 26, 2020",Wisconsin,Milwaukee,6,0
1629042,"February 25, 2020",Illinois,Chicago,1,4
1627713,"February 23, 2020",Texas,Houston,0,7
1627335,"February 23, 2020",North Carolina,Clarkton,3,1
1625553,"February 20, 2020",Idaho,Caldwell,2,3
1625787,"February 20, 2020",North Carolina,Greensboro,0,4
1623696,"February 17, 2020",Mississippi,Port Gibson,2,2
1622962,"February 16, 2020",Florida,Pensacola,1,4
1622406,"February 16, 2020",Connecticut,Hartford,1,5
1622233,"February 15, 2020",Tennessee,Memphis,0,7
1622340,"February 15, 2020",Louisiana,New Orleans,0,4
1621821,"February 14, 2020",Illinois,Chicago,0,6
1619064,"February 10, 2020",Delaware,Dover,1,4
1617497,"February 9, 2020",Ohio,Youngstown,3,2
1616964,"February 8, 2020",Texas,Houston,1,3
1615155,"February 5, 2020",Indiana,Indianapolis,4,0
1612716,"February 3, 2020",California,Lebec,1,5
1613020,"February 3, 2020",Maine,Machias,3,1
1612597,"February 1, 2020",Mississippi,Philadelphia,0,4
1611563,"January 31, 2020",California,Delano,1,4
1611037,"January 31, 2020",Florida,Boynton Beach,1,3
1610782,"January 31, 2020",Louisiana,Shreveport,0,4
1610240,"January 30, 2020",California,Merced,0,4
1606554,"January 27, 2020",Connecticut,Bridgeport,0,4
1605948,"January 26, 2020",Missouri,Cape Girardeau,0,5
1605752,"January 26, 2020",South Carolina,Hartsville,3,3
1605798,"January 26, 2020",New York,Newburgh,3,1
1605770,"January 26, 2020",North Carolina,Salisbury,0,6
1606476,"January 24, 2020",North Carolina,Vanceboro,5,0
1603241,"January 22, 2020",Washington,Seattle,1,7
1600221,"January 19, 2020",Tennessee,Memphis,1,4
1600522,"January 19, 2020",Texas,San Antonio,2,5
1600787,"January 19, 2020",Missouri,Kansas City,2,15
1600350,"January 19, 2020",Texas,South Houston,2,2
1599331,"January 17, 2020",Utah,Grantsville,4,1
1598447,"January 16, 2020",Illinois,Chicago,0,5
1594173,"January 11, 2020",Colorado,Aurora,0,5
1592655,"January 8, 2020",Mississippi,Bay Saint Louis,2,2
1588919,"January 5, 2020",Georgia,Atlanta,0,4
1588308,"January 4, 2020",Florida,Ocala,1,3
1586839,"January 2, 2020",New York,Brooklyn,0,4
1585746,"January 1, 2020",Ohio,Cleveland,0,4
1585394,"January 1, 2020",West Virginia,Huntington,0,7
1585894,"January 1, 2020",Missouri,Saint Louis,3,2
1582816,"December 29, 2019",Illinois,Danville,0,5
1582197,"December 29, 2019",New York,Buffalo,1,3
1583444,"December 29, 2019",California,Ceres,0,5
1581590,"December 27, 2019",California,Modesto,1,3
1581476,"December 27, 2019",Georgia,Kennesaw,0,4
1581103,"December 27, 2019",Texas,Houston,2,7
1580308,"December 26, 2019",Florida,Saint Petersburg,0,5
1579889,"December 25, 2019",California,Oakland,0,4
1579970,"December 25, 2019",Iowa,Coralville,1,3
1579856,"December 25, 2019",Virginia,Richmond,1,3
1579266,"December 24, 2019",Louisiana,New Orleans,0,4
1594317,"December 24, 2019",Illinois,Joliet,0,5
1579220,"December 24, 2019",North Carolina,High Point,0,6
1577577,"December 22, 2019",Maryland,Baltimore,0,7
1577688,"December 22, 2019",Minnesota,Minneapolis (Spring Lake Park),1,7
1577518,"December 22, 2019",Illinois,Chicago,0,13
1578711,"December 21, 2019",Louisiana,Edgard,0,4
1577046,"December 20, 2019",Mississippi,Waynesboro,1,6
1577438,"December 20, 2019",Alabama,Tuskegee,2,2
1575175,"December 18, 2019",Texas,San Antonio,0,4
1573754,"December 17, 2019",Montana,Great Falls,4,1
1572275,"December 15, 2019",Georgia,Columbus,1,4
1573471,"December 14, 2019",California,Ivanhoe,0,4
1571348,"December 12, 2019",Missouri,Saint Louis (Moline Acres),1,3
1568230,"December 10, 2019",New Jersey,Jersey City,6,3
1567932,"December 8, 2019",Texas,Desoto,2,3
1567231,"December 8, 2019",Louisiana,New Orleans,1,4
1565216,"December 6, 2019",Florida,Pensacola,4,8
1564524,"December 4, 2019",Alabama,Montgomery,2,2
1562043,"December 1, 2019",Louisiana,Cotton Valley,2,3
1561966,"December 1, 2019",Louisiana,New Orleans,2,2
1561813,"December 1, 2019",Illinois,Aurora,1,4
1562685,"December 1, 2019",Michigan,Kalamazoo,1,3
1561734,"December 1, 2019",Louisiana,New Orleans,0,12
1561398,"November 30, 2019",Arkansas,Hensley,0,5
1560645,"November 29, 2019",Texas,Amarillo,0,7
1559257,"November 27, 2019",New York,Bronx,0,5
1558067,"November 25, 2019",Florida,Brownsville,2,2
1557006,"November 24, 2019",Alabama,Birmingham,1,4
1556633,"November 24, 2019",California,Los Angeles,0,6
1556984,"November 24, 2019",Louisiana,Cottonport,2,2
1555879,"November 23, 2019",California,Los Angeles,0,4
1556002,"November 23, 2019",Louisiana,Tallulah,1,6
1555135,"November 21, 2019",California,Long Beach,0,5
1554807,"November 21, 2019",Washington,Everett,0,4
1554446,"November 20, 2019",California,Richmond,0,4
1552068,"November 18, 2019",New Jersey,Newark,1,4
1551531,"November 17, 2019",California,Fresno,4,6
1551162,"November 17, 2019",Ohio,Cleveland,0,4
1550546,"November 16, 2019",California,San Diego,6,0
1548689,"November 14, 2019",California,Santa Clarita,3,3
1547021,"November 11, 2019",Florida,Belle Glade,0,4
1546102,"November 10, 2019",Missouri,Kansas City,0,4
1546038,"November 10, 2019",Tennessee,Memphis,1,4
1546155,"November 10, 2019",Arkansas,Little Rock,0,4
1545955,"November 9, 2019",Michigan,Detroit,0,4
1546508,"November 9, 2019",Georgia,Vidalia,0,4
1545027,"November 8, 2019",North Carolina,Raleigh,1,3
1543835,"November 7, 2019",Georgia,Conyers,2,3
1541774,"November 4, 2019",Texas,Houston,1,4
1540863,"November 3, 2019",Ohio,Toledo,0,4
1540841,"November 3, 2019",Texas,Nacogdoches,1,3
1540280,"November 2, 2019",Louisiana,Baton Rouge,0,4
1540240,"November 2, 2019",Michigan,Detroit,1,4
1539572,"November 1, 2019",Arizona,Tolleson,0,5
1539557,"November 1, 2019",Texas,San Angelo,0,4
1539347,"October 31, 2019",California,Orinda,5,3
1537992,"October 30, 2019",Pennsylvania,Philadelphia,4,0
1537672,"October 29, 2019",California,Long Beach,3,9
1537044,"October 29, 2019",Maryland,Baltimore,1,3
1536787,"October 28, 2019",Maryland,Baltimore,1,3
1536706,"October 27, 2019",Michigan,Detroit,0,4
1535629,"October 27, 2019",Michigan,Lansing,1,4
1535478,"October 26, 2019",Texas,Greenville,2,6
1534704,"October 24, 2019",Oklahoma,Oklahoma City,2,2
1533166,"October 22, 2019",Oklahoma,Oklahoma City (Midwest City),1,3
1531326,"October 21, 2019",South Carolina,Sumter,0,4
1530965,"October 20, 2019",Texas,Port Arthur,1,3
1530407,"October 19, 2019",Pennsylvania,Duquesne,0,4
1530276,"October 19, 2019",Texas,El Paso,1,4
1527528,"October 15, 2019",Ohio,Columbus,0,4
1525999,"October 13, 2019",Pennsylvania,Philadelphia,0,6
1526952,"October 13, 2019",Ohio,Akron,0,4
1525062,"October 12, 2019",New York,Brooklyn,4,3
1525476,"October 12, 2019",Illinois,Chicago,5,0
1525408,"October 12, 2019",Pennsylvania,Philadelphia,1,3
1525628,"October 12, 2019",Maryland,Baltimore,1,3
1525265,"October 12, 2019",Michigan,Eastpointe,1,5
1523606,"October 10, 2019",Florida,Tampa,2,2
1524264,"October 10, 2019",Pennsylvania,Philadelphia,0,5
1522979,"October 9, 2019",Massachusetts,Lowell,0,5
1523204,"October 9, 2019",Maryland,Baltimore,1,3
1521226,"October 7, 2019",Massachusetts,Abington,5,0
1520499,"October 6, 2019",Colorado,Denver,0,4
1520330,"October 6, 2019",Kansas,Kansas City,4,5
1520425,"October 6, 2019",Indiana,Evansville,0,5
1520547,"October 5, 2019",Missouri,Saint Louis,0,5
1519090,"October 3, 2019",North Carolina,Roxboro,1,3
1518859,"October 3, 2019",Missouri,Marshall,1,3
1517804,"October 1, 2019",Missouri,Saint Louis,0,4
1515312,"September 29, 2019",Illinois,Round Lake (Round Lake Park),1,3
1515242,"September 29, 2019",Wisconsin,Milwaukee,0,4
1515128,"September 29, 2019",Florida,Jacksonville,0,4
1517360,"September 29, 2019",Kansas,Claflin,0,4
1515327,"September 29, 2019",Texas,Beaumont,4,0
1511999,"September 24, 2019",Illinois,Chicago,1,3
1510411,"September 23, 2019",Indiana,Gary,2,2
1509721,"September 22, 2019",Missouri,Kansas City,0,5
1509411,"September 21, 2019",Louisiana,New Orleans,0,4
1508804,"September 21, 2019",South Carolina,Lancaster,2,8
1509510,"September 21, 2019",Indiana,Indianapolis,0,6
1512486,"September 21, 2019",Ohio,Cleveland,4,0
1508859,"September 20, 2019",Louisiana,New Orleans,1,5
