US_State,lawtotal
Alabama,15
Alaska,10
Arizona,12
Arkansas,15
California,58
Colorado,9
Connecticut,27
Delaware,12
Florida,18
Georgia,12
Hawaii,38
Idaho,5
Illinois,41
Indiana,10
Iowa,18
Kansas,13
Kentucky,8
Louisiana,10
Maine,9
Maryland,17
Massachusetts,55
Michigan,24
Minnesota,15
Mississippi,8
Missouri,16
Montana,3
Nebraska,18
Nevada,8
New Hampshire,7
New Jersey,46
New Mexico,10
New York,35
North Carolina,19
North Dakota,13
Ohio,18
Oklahoma,10
Oregon,16
Pennsylvania,17
Rhode Island,39
South Carolina,21
South Dakota,6
Tennessee,18
Texas,13
Utah,12
Vermont,3
Virginia,12
Washington,10
West Virginia,11
Wisconsin,16
Wyoming,7
Alabama,16
Alaska,11
Arizona,12
Arkansas,15
California,57
Colorado,9
Connecticut,28
Delaware,14
Florida,19
Georgia,15
Hawaii,43
Idaho,5
Illinois,43
Indiana,10
Iowa,18
Kansas,13
Kentucky,8
Louisiana,10
Maine,9
Maryland,23
Massachusetts,56
Michigan,25
Minnesota,15
Mississippi,8
Missouri,16
Montana,3
Nebraska,18
Nevada,8
New Hampshire,7
New Jersey,50
New Mexico,10
New York,35
North Carolina,19
North Dakota,13
Ohio,19
Oklahoma,11
Oregon,16
Pennsylvania,17
Rhode Island,39
South Carolina,21
South Dakota,6
Tennessee,18
Texas,13
Utah,13
Vermont,3
Virginia,12
Washington,11
West Virginia,11
Wisconsin,18
Wyoming,7
Alabama,16
Alaska,11
Arizona,13
Arkansas,14
California,57
Colorado,9
Connecticut,34
Delaware,14
Florida,19
Georgia,15
Hawaii,46
Idaho,5
Illinois,44
Indiana,10
Iowa,18
Kansas,13
Kentucky,8
Louisiana,12
Maine,9
Maryland,24
Massachusetts,56
Michigan,25
Minnesota,22
Mississippi,8
Missouri,16
Montana,3
Nebraska,18
Nevada,8
New Hampshire,7
New Jersey,51
New Mexico,10
New York,35
North Carolina,23
North Dakota,13
Ohio,19
Oklahoma,12
Oregon,16
Pennsylvania,17
Rhode Island,39
South Carolina,21
South Dakota,6
Tennessee,18
Texas,12
Utah,13
Vermont,3
Virginia,13
Washington,12
West Virginia,11
