US_State,Num_Killed,Num_Injured,lawtotal
Texas,46,46,461
Florida,38,38,564
Michigan,33,33,633
Illinois,29,29,1542
Pennsylvania,24,24,845
Ohio,22,22,485
Indiana,19,19,277
Virginia,18,18,355
Tennessee,18,18,505
South Carolina,17,17,425
Louisiana,16,16,261
Georgia,15,15,287
California,14,14,2298
Missouri,14,14,328
Wisconsin,13,13,596
Alabama,12,12,335
New York,12,12,1514
North Carolina,10,10,696
Kentucky,10,10,186
Arizona,10,10,325
Mississippi,8,8,218
Utah,8,8,322
Massachusetts,8,8,2434
Maryland,7,7,1314
Oregon,6,6,607
Minnesota,6,6,831
Oklahoma,6,6,269
Arkansas,6,6,337
Kansas,5,5,299
Nevada,4,4,263
Washington,4,4,686
Colorado,4,4,456
Iowa,4,4,554
New Mexico,3,3,260
North Dakota,3,3,345
Connecticut,3,3,1768
Delaware,3,3,685
Vermont,2,2,90
West Virginia,2,2,482
Wyoming,2,2,238
New Jersey,2,2,1607
New Hampshire,2,2,266
Nebraska,2,2,579
Alaska,2,2,170
Idaho,2,2,156
Rhode Island,1,1,1172
Montana,1,1,116
